state,state_code,total_households,mean_income,gini_coefficient,theil_index,atkinson_05,atkinson_10,atkinson_15,palma_ratio,p90_p10_ratio,top_10_share,bottom_40_share
New Jersey,34,3438162,115839.61866834664,0.39275764472103525,0.25747261926441634,0.13955543846281682,0.30087087490121256,0.474784742682279,0.0,11.11111111111111,0.0,0.21792713772474634
New Mexico,35,812852,76921.83201862086,0.44137399679557965,0.32108698694913435,0.1646265372567287,0.33362606121717586,0.49463024268142,1.406661144345205,14.0,0.19839726040652006,0.14104126015286586
New York,36,7604523,102565.17009679634,0.4253218811334135,0.2993256239840252,0.15970953601957116,0.33628749129662094,0.5134206935399537,0.0,14.285714285714286,0.0,0.16475888523886176
North Carolina,37,4105232,85407.47636187187,0.4256383330246334,0.29747046775632685,0.1530581306687362,0.31248869078132213,0.46984337645551144,1.4677732623947308,10.0,0.24741705352104426,0.16856626282820647
North Dakota,38,320038,90420.39539054738,0.4043268536199469,0.2687899088475677,0.1405263888610141,0.2930705315698282,0.4514167405296863,1.5977143758446524,10.0,0.23102870494078498,0.14459950316128856
Ohio,39,4789408,84723.34315639845,0.42044059371213227,0.29059878267032885,0.15017616179447568,0.3084388868063058,0.46656251841564866,1.3531227389014744,10.0,0.22536769684784963,0.16655377252089726
Oklahoma,40,1522711,79130.46861814224,0.424595240307871,0.29709228305598945,0.15207443190975078,0.30951882977355893,0.46479270731958255,1.4575460609053097,14.0,0.1987462574019443,0.1363567593044018
Oregon,41,1680800,95068.62059733461,0.4079250549162339,0.272955466049357,0.1429423270531608,0.29798474726668434,0.4580893789167666,0.0,14.285714285714286,0.0,0.1997232797428709
Pennsylvania,42,5193727,92221.07313303144,0.4180511518536111,0.28669395753482363,0.14954063803417594,0.3096266567196537,0.47124065458316544,0.0,14.285714285714286,0.0,0.14101793025279277
Rhode Island,44,432219,98110.51226345904,0.4094494913300377,0.27621496244853005,0.14665006215647636,0.30907335521723156,0.47648319050120425,0.0,14.285714285714286,0.0,0.17640283854154537
South Carolina,45,2023085,81963.69282556097,0.4290377473172059,0.3032205819225648,0.15606101927210925,0.3189563957678532,0.47943594525593203,1.2564842207743177,14.0,0.22477902819853524,0.17889522564796995
South Dakota,46,351182,84709.04687597883,0.3996309769285088,0.26283647840280355,0.13577989626386844,0.28030780640536723,0.4296529966656032,1.1320162279084143,10.0,0.19087650156727487,0.16861640042029302
Tennessee,47,2713635,82172.64665292126,0.4245409435697255,0.2966453253398417,0.15229379758724215,0.31062633002977336,0.4669846639254276,1.236337789865415,10.0,0.22196404025587735,0.17953349163584156
Texas,48,10490553,93072.39737504782,0.4188593391733265,0.2878770953355545,0.1503275359380457,0.31178415166761,0.4754050780796216,0.0,14.285714285714286,0.0,0.14026886694044796
Utah,49,1062819,102619.15481375474,0.37283813188509074,0.2282358688252726,0.120280050847142,0.25475610607543697,0.40360957363308636,0.0,11.11111111111111,0.0,0.17336689723511553
Vermont,50,265858,91527.55418306013,0.40555457120004,0.2693887539500689,0.1402422911881972,0.29050318749235915,0.4443702545005709,1.7119505753151385,10.0,0.24193151513464095,0.14131921716846635
Virginia,51,3289776,107127.82420444432,0.401815068766867,0.2661740411964286,0.14183964881246724,0.3006181590807292,0.46820382683556105,0.0,11.11111111111111,0.0,0.15820749257125338
Washington,53,2979272,108849.23816959311,0.3902398160242726,0.25103243876850795,0.13389838601879822,0.28514609971145155,0.44864459482785,0.0,11.11111111111111,0.0,0.15288448636814742
West Virginia,54,716040,72101.65284062343,0.43856927151602887,0.31757585106454045,0.16131951559231128,0.3242889770978774,0.4786607127882354,1.2500973455666662,14.0,0.16789931483927678,0.13430899236344543
Wisconsin,55,2425488,88837.86479256958,0.398412627764437,0.26060077460902026,0.13521297288182788,0.2803309392369838,0.43147143914097164,1.3989104772609278,10.0,0.21464073529584093,0.15343421811816604
Wyoming,56,234156,88436.75797331694,0.40122386128584286,0.26480850274606543,0.138241118553739,0.2881964804082505,0.44448846781786444,1.4015519624169201,10.0,0.20789069537023075,0.14832892460992425
Puerto Rico,72,1219658,37109.736909855055,0.5137262460079381,0.4614770633795655,0.21651238885160085,0.39841190524618997,0.5375703159290672,2.4522589099037466,17.5,0.2811652920065343,0.11465563072113387
